PLAYER_NAME,TEAM_ABBREVIATION,ARCHETYPE,COMPOSITE_SCORE_NORM,SALARY,VORPD,AGE,DEF_RATING_ADJUSTED,OFF_RATING_ADJUSTED,FG3_PCT
Jalen Brunson,NYK,Elite Playmaker,76.62,30747204.0,1.9349,27,0.1884999308460223,5.895497837149516,0.3921450357325166
Jusuf Nurkić,PHX,Perimeter Scorer,66.78,17048050.0,2.9125,29,1.1741805188752512,5.542822743514052,0.3404728075170843
Tre Jones,SAS,Defensive Wing,62.54,7039195.0,6.4513,24,1.893444671665533,2.5014314928425385,0.3575883977900552
De'Anthony Melton,PHI,Perimeter Scorer,61.92,2710900.0,16.5229,26,-0.5540106424911332,5.3512391604257,0.3678706641285956
Kentavious Caldwell-Pope,DEN,Perimeter Scorer,55.4,19024744.0,2.0117,31,0.4665112665112656,6.493535854826188,0.3915865115465361
Kris Dunn,UTA,Perimeter Scorer,54.46,4774686.0,7.8187,30,1.087264595310839,3.453987022477345,0.3727110424502955
Vasilije Micic,CHA,Versatile Scorer,51.77,2000000.0,17.321,30,0.3384528990593863,3.784894005334829,0.3385703125
Chris Boucher,TOR,Perimeter Scorer,39.56,2020490.0,11.1023,31,1.8889152341434488,3.8405157083580335,0.3624542253521127
Saddiq Bey,ATL,Versatile Scorer,39.51,5383791.0,4.1573,25,-2.065384164681064,3.980558571930777,0.3404891778387982
Simone Fontecchio,DET,Perimeter Scorer,39.34,7309933.0,3.0386,28,0.4983717458243956,4.976050200615851,0.3893695105598391
Neemias Queta,BOS,Perimeter Scorer,36.85,2067392.0,9.5396,24,0.3484877580412903,3.4991598655784864,0.3699023307479622
Bruce Brown,TOR,Versatile Scorer,35.42,2020490.0,9.0532,27,-3.603971411640938,4.859730200384561,0.3547044914448669
Dereck Lively II,DAL,Two-Way Big,30.45,4622428.0,2.882,20,-1.045536959553698,3.2627963737796315,0.3699023307479622
Grant Williams,CHA,Bench / Role Player,28.48,12006667.0,0.9455,25,-1.0669531739636455,3.639072432626011,0.3746992765814266
Onyeka Okongwu,ATL,Two-Way Big,28.1,13198490.0,0.8313,23,-1.8183968462549287,3.278028909329823,0.3654019607843137
